best,mean
274,335.8
274,338.24
274,337.8
274,337.4
266,323.48
260,327.52
260,316.96
260,322.36
260,320.84
260,314.08
260,320.36
260,318.32
260,314.76
260,313.2
260,313.76
260,318.92
260,312.08
260,319.96
260,314.88
260,315.6
258,308.96
258,313.6
258,315.84
258,312.16
258,313.84
258,307.24
258,314.8
258,310.04
258,312.52
258,316.52
258,311.24
258,308.6
258,308.68
258,315.32
258,307.4
258,310.72
258,313.8
258,311.48
258,312.76
258,308.76
258,310.48
258,311.48
258,310.92
258,312.32
258,308.84
258,307.64
244,308.68
244,310.64
244,309.24
244,309.28
244,312.72
244,311.24
244,311.8
244,309.0
244,298.4
244,296.72
244,295.96
244,297.88
244,295.04
244,291.72
244,295.56
244,292.28
244,291.32
244,292.44
240,291.6
240,292.16
240,289.08
230,286.76
230,287.56
230,293.2
230,286.96
230,287.44
230,288.08
230,286.8
220,285.96
220,288.52
220,289.2
220,285.08
220,286.44
220,287.72
220,286.0
220,282.88
214,281.48
214,285.8
214,279.96
214,277.8
214,279.44
214,280.56
214,278.28
214,285.2
214,286.56
214,281.16
214,285.28
214,275.92
214,277.04
214,282.0
214,278.04
214,281.88
214,275.0
214,283.76
214,273.0
214,278.72
214,276.96
214,272.76
214,267.24
214,269.08
214,269.44
214,265.52
214,266.88
204,259.84
204,263.12
204,267.6
204,265.32
204,268.76
204,267.04
204,262.52
204,263.72
204,258.56
204,262.12
204,261.92
204,261.68
204,257.16
204,265.92
204,263.92
204,257.96
204,259.32
204,259.76
204,261.48
204,257.76
204,260.52
204,258.68
204,259.28
204,254.96
204,257.12
204,258.36
202,255.32
202,255.64
202,261.96
202,253.76
202,255.92
202,255.64
202,254.32
202,256.16
202,256.36
202,259.4
202,255.88
202,255.52
202,259.08
202,256.6
202,260.16
202,258.88
202,253.72
202,255.56
202,255.04
202,248.6
202,248.16
200,248.92
200,247.08
200,244.88
200,248.12
200,246.84
200,244.48
200,245.56
200,246.12
200,245.08
200,248.84
200,247.24
200,245.44
200,245.76
200,247.36
200,244.44
182,243.28
182,245.2
182,241.76
182,238.64
182,244.2
182,245.4
182,240.12
182,246.56
182,239.96
182,244.52
182,242.12
182,242.76
182,241.32
182,242.6
182,242.76
182,240.2
182,239.08
176,241.48
176,243.76
176,237.8
176,237.92
176,234.04
176,237.56
176,236.16
176,236.68
176,236.44
176,238.44
176,237.24
176,234.0
176,238.24
176,233.6
176,234.44
176,233.0
176,226.2
176,228.56
176,228.2
176,223.8
176,225.12
176,224.16
176,225.96
176,225.28
176,226.6
176,226.88
176,224.16
176,224.68
176,224.08
170,222.88
170,224.6
170,224.48
170,225.6
168,221.28
168,225.32
168,222.96
168,219.96
168,221.52
168,222.32
168,222.8
168,225.56
168,221.12
168,223.08
168,221.8
168,223.08
168,220.48
168,218.28
168,224.28
168,222.92
168,220.72
168,220.36
168,222.84
168,222.16
168,219.48
168,219.92
168,220.8
168,219.12
168,220.56
168,219.12
168,216.72
168,216.92
162,223.64
162,219.04
162,222.04
162,218.28
162,220.52
162,210.28
136,207.6
136,213.08
136,206.32
136,210.0
136,208.32
136,206.88
136,208.96
136,203.44
136,209.76
136,205.36
136,206.84
136,202.96
136,201.0
136,202.16
136,201.44
136,202.24
112,199.36
112,200.44
112,202.84
112,194.72
112,201.12
112,199.84
112,199.08
112,201.16
112,197.88
112,200.6
112,201.2
98,194.8
98,200.44
98,196.76
98,202.12
98,199.32
98,198.4
98,195.12
98,194.64
98,195.6
98,191.84
98,192.6
98,191.28
98,193.76
98,194.2
98,195.28
98,193.4
98,186.32
98,189.04
98,187.92
98,187.84
98,189.56
98,187.44
98,183.36
98,179.6
98,185.16
98,183.48
98,182.2
98,183.88
98,181.76
98,180.64
98,183.52
98,184.84
98,179.04
98,178.84
98,185.2
98,182.4
98,186.72
98,179.84
98,178.76
98,181.04
98,183.6
98,176.4
98,183.4
98,183.0
98,181.36
98,179.04
98,179.96
98,182.12
98,179.08
98,181.4
98,178.56
98,180.16
98,177.88
98,181.68
98,178.32
98,180.04
98,175.8
98,178.32
98,175.48
98,177.8
98,176.96
98,174.0
98,178.08
98,175.4
92,177.88
92,178.6
92,179.12
92,181.36
92,172.88
92,176.84
92,177.4
92,177.04
92,167.28
92,171.04
92,168.44
92,169.2
92,168.64
92,168.16
92,166.16
92,167.88
92,169.64
92,166.76
92,168.64
92,170.12
92,165.6
92,165.72
92,169.24
92,168.72
92,167.6
92,170.36
92,162.44
92,165.28
92,163.84
92,162.2
92,165.88
92,166.56
92,161.68
92,161.76
92,162.6
92,161.56
92,163.88
92,166.8
92,161.48
92,168.8
92,162.52
92,161.96
92,162.08
92,160.72
92,162.32
92,158.36
92,162.2
92,163.8
92,159.48
92,163.92
92,162.2
92,164.36
92,161.12
92,157.64
92,159.04
92,162.8
92,163.44
92,162.04
92,158.32
92,156.2
92,155.12
92,156.64
92,151.92
92,154.68
92,158.88
92,154.76
92,153.8
92,155.36
92,155.56
92,156.28
92,156.56
92,151.96
92,154.76
92,154.76
92,154.04
92,156.32
92,158.48
92,154.32
92,156.08
92,152.44
92,154.56
92,154.52
92,154.76
92,156.72
92,153.24
92,153.68
92,154.72
92,157.64
92,154.16
92,153.0
92,154.68
92,155.16
92,152.96
92,154.52
92,154.68
92,150.84
92,151.08
92,157.0
92,153.72
92,153.44
92,158.12
92,156.32
92,157.4
92,152.24
92,152.4
92,153.44
92,152.24
92,153.16
92,149.0
92,151.16
88,144.04
88,146.48
88,148.64
88,146.28
88,146.4
88,149.88
88,145.32
88,151.52
88,145.72
88,151.04
88,147.6
88,149.24
88,148.8
88,150.0
88,151.72
88,143.2
88,152.24
88,147.04
88,151.96
88,146.8
88,148.84
88,146.76
88,152.56
88,148.84
88,150.44
88,147.44
88,151.92
88,148.44
88,149.48
88,147.04
88,147.88
88,145.56
88,145.72
84,149.84
84,147.96
84,150.72
84,146.96
84,145.0
84,147.36
84,147.56
84,146.88
80,148.4
80,146.6
80,147.8
80,147.72
80,144.72
80,149.92
80,147.72
80,142.76
80,143.0
80,143.16
80,142.88
80,142.76
80,142.72
80,143.44
80,141.32
80,138.6
80,139.4
80,142.96
80,143.4
80,144.32
80,144.8
80,144.8
80,144.8
80,138.48
80,144.32
80,139.6
80,140.76
80,139.52
80,137.8
80,141.88
80,139.28
80,139.0
80,138.72
80,139.28
80,140.08
80,137.64
80,138.0
80,135.36
80,137.28
80,140.76
80,140.68
80,133.8
80,137.32
80,135.8
80,138.08
80,139.36
80,139.44
80,139.88
80,136.32
80,137.52
80,141.32
80,135.92
80,139.04
80,133.72
80,136.68
80,138.0
80,137.36
78,138.4
78,132.2
78,132.72
78,130.16
78,131.28
78,132.44
78,132.96
78,131.56
78,133.16
78,126.4
78,134.96
78,129.84
78,132.24
78,134.16
78,129.28
78,128.92
76,130.48
76,130.08
76,130.4
76,132.8
76,129.6
76,130.96
76,132.12
76,127.32
76,130.0
76,129.96
76,126.92
76,133.8
76,129.4
76,132.32
70,131.72
70,128.24
70,128.76
70,130.84
70,131.24
70,133.76
70,132.68
70,130.04
70,128.24
70,132.76
70,129.56
70,132.44
70,127.92
70,129.32
70,128.76
70,130.92
70,128.72
70,131.04
70,130.04
70,126.0
70,123.32
70,125.56
70,127.64
70,126.04
70,126.32
70,123.84
70,126.76
70,124.44
70,130.12
70,123.68
70,126.88
70,123.76
70,124.4
70,121.16
70,123.8
70,121.44
70,123.96
66,123.36
66,123.04
66,125.24
66,126.04
66,123.28
66,121.04
66,124.56
66,124.28
66,122.84
66,121.2
66,123.12
66,122.44
66,124.72
66,124.2
66,120.04
66,120.28
66,124.72
66,121.84
66,120.76
66,121.56
66,120.92
66,124.08
66,123.36
66,120.84
66,121.8
66,120.64
66,120.04
66,119.72
66,119.2
66,119.12
66,121.36
64,119.88
64,120.48
64,114.68
64,116.2
64,117.08
64,115.24
64,114.72
64,117.92
64,120.72
64,114.92
64,118.52
64,114.68
64,117.08
64,118.04
64,117.88
64,116.24
64,116.04
64,115.0
64,115.92
